Sample	lightcyan	brown4	brown	palevioletred2	yellowgreen	darkseagreen3	lavenderblush3	black	saddlebrown	pink
P302v4	-0.069945455	-0.026145496	-0.038286863	-0.013679162	-0.007383704	-0.054802744	0.136305123	-0.019064383	-0.040047285	-0.008494564
P302v5	0.038359077	-0.036916085	-0.06811535	-0.004027785	0.080442907	-0.03765586	0.032987796	-0.039074452	-0.060743347	0.006344656
P302v6	-0.042798103	-0.027894483	-0.044827611	0.042836009	0.020680159	-0.060862492	0.094605183	-0.045254609	-0.049073146	-0.000510694
P302v9	-0.058502506	-0.028962323	-0.056099301	0.009169894	0.030143444	-0.063314296	0.108136449	-0.042462321	-0.039453548	-0.000742219
P302v10	-0.041393743	-0.021195715	-0.015541976	0.211988606	0.099926566	-0.059682499	0.102184686	-0.01329335	-0.05969512	-0.01554871
P302v11	-0.05524869	-0.029170276	-0.049718848	0.028374244	-0.006320309	-0.06292931	0.097179158	-0.045569965	-0.045222284	-0.00097389
P450v1	-0.02912592	-0.039558555	-0.063423212	-0.019676056	-0.03725131	0.023985974	-0.035866728	-0.006654495	-0.063434618	0.035598051
P450v2	0.21832791	-0.007620697	-0.081265194	-0.024123832	-0.012821069	0.052866169	-0.045717031	-0.0451538	-0.026568579	0.054123589
P450v3	0.22161328	-0.004609563	-0.078563527	-0.016627273	-0.010499408	0.044191627	-0.040535202	-0.043687082	-0.037745087	0.042083336
P450v4	0.000295525	-0.028593044	-0.072144632	-0.02388587	-0.034609893	0.05646662	0.032544055	-0.027945662	-0.042208863	0.098706258
P450v5	-0.013400692	-0.0288008	-0.059252618	-0.020008493	0.0109363	0.035652622	0.031745988	-0.027960032	-0.043893266	0.069106091
P450v6	-0.00319657	-0.021602016	-0.055227345	-0.022288809	-0.023613017	0.028077887	0.005114402	-0.018982179	-0.04862801	0.028224941
P450v7	0.012887134	-0.033130563	-0.075016121	-0.027070365	-0.043608824	0.037777674	-0.014540143	-0.03556837	-0.057124985	0.067758896
P450v8	0.117068266	-0.035191309	-0.070752196	-0.016352823	-0.044312535	-0.003343726	-0.065846162	-0.04151958	-0.055162798	0.020326655
