a	b	purityCorrection	estimate	pvalue	corr.pvalue	isSignificant
DistCentroid	lymphocytes	0	0.00082700994437276	0.357077488038169	0.396752764486854	0
DistCentroid	m1macro	0	-2.96543548310532e-05	0.889697529553172	0.889697529553172	0
DistCentroid	microgliamacro	0	-0.000394599032220821	0.334818898896101	0.396752764486854	0
DistCentroid	granulocyte	0	0.000321444021177463	0.0200775743588235	0.0968774063249442	0
DistCentroid	endothelial	0	0.00251876298569845	0.00453723028327963	0.0453723028327963	1
DistCentroid	astrocytes	0	0.00128394570770419	0.0290632218974832	0.0968774063249442	0
DistCentroid	astrocytes2	0	0.00130326122189362	0.168018501477674	0.240026430682391	0
DistCentroid	oligodendrocytes	0	0.000901257086836037	0.131553043548258	0.219255072580429	0
DistCentroid	ependymal	0	-0.00121751497143831	0.0447995231019554	0.0987413711542383	0
DistCentroid	neuron	0	0.00174424437813366	0.0493706855771191	0.0987413711542383	0
DistPeriph	lymphocytes	0	0.000286907351835827	0.868594292557162	0.965104769507958	0
DistPeriph	m1macro	0	7.66477500571472e-05	0.852169880458773	0.965104769507958	0
DistPeriph	microgliamacro	0	1.68415767001048e-05	0.98296088759678	0.98296088759678	0
DistPeriph	granulocyte	0	-0.00035179268403743	0.186079338113239	0.265827625876056	0
DistPeriph	endothelial	0	-0.00343795361301142	0.0458886780689717	0.229443390344858	0
DistPeriph	astrocytes	0	-0.00174415195554174	0.125411702370073	0.25177868121277	0
DistPeriph	astrocytes2	0	-0.00317125880575459	0.0794903078984234	0.25177868121277	0
DistPeriph	oligodendrocytes	0	-0.00172086885306072	0.133141260703283	0.25177868121277	0
DistPeriph	ependymal	0	0.00241876594444227	0.0391967244802856	0.229443390344858	0
DistPeriph	neuron	0	-0.00242120593212506	0.151067208727662	0.25177868121277	0
DistVR	lymphocytes	0	-0.000304618003525129	0.661660902200234	0.735178780222482	0
DistVR	m1macro	0	-1.23969258205244e-05	0.940142104426885	0.940142104426885	0
DistVR	microgliamacro	0	-0.00063320953431294	0.0427341376821242	0.0712235628035403	0
DistVR	granulocyte	0	6.28019972214111e-05	0.55736599857401	0.73349976546212	0
DistVR	endothelial	0	0.00182850826148765	0.00774667631093537	0.0227009639241636	1
DistVR	astrocytes	0	0.00138360939845138	0.00226046600270899	0.0116142192889829	1
DistVR	astrocytes2	0	0.00187247430606299	0.00908038556966545	0.0227009639241636	1
DistVR	oligodendrocytes	0	0.000251425080925382	0.586799812369696	0.73349976546212	0
DistVR	ependymal	0	-0.000989404584524619	0.0350880953546055	0.0701761907092109	0
DistVR	neuron	0	0.00202601067497692	0.00232284385779657	0.0116142192889829	1
