"","x"
"1","SOX10"
"2","MBP"
"3","MAG"
"4","MOG"
"5","MOBP"
"6","GJB1"
"7","DMRT2"
"8","CARNS1"
"9","CLDN11"
"10","MYRF"
"11","CNTN2"
"12","KLK6"
"13","CNDP1"
"14","UGT8"
"15","PLP1"
"16","NKX6-2"
"17","FA2H"
"18","ADAMTS4"
"19","EDIL3"
"20","ENPP2"
"21","ERMN"
"22","LRP2"
"23","PIEZO2"
"24","FOLH1"
"25","ST18"
"26","TF"
"27","CNTNAP4"
"28","HAPLN2"
"29","BCAS1"
"30","ATP10B"
"31","DNAH17"
"32","PCSK6"
"33","LDB3"
"34","SPOCK3"
"35","MAL"
"36","BOK"
"37","TMEM125"
"38","PDGFRA"
"39","ERBB3"
"40","LGI3"
"41","SLC45A3"
"42","CDH19"
"43","TMEM144"
"44","SLC5A11"
"45","TMEM88B"
"46","SUSD5"
"47","SEC14L5"
"48","GJC2"
"49","APOD"
"50","GREM1"
"51","TMEM151A"
"52","CDK18"
"53","CRLF1"
"54","MYO1D"
"55","GPD1"
"56","GPR62"
"57","PPP1R14A"
"58","PPL"
"59","EGFR"
"60","BVES"
"61","GJA1"
"62","CAPN3"
"63","PLLP"
"64","TUBB4A"
"65","NKAIN2"
"66","S1PR5"
"67","EYA2"
"68","NGFR"
"69","ANKS1B"
"70","KNDC1"
"71","PEX5L"
"72","RAPGEF5"
"73","COL28A1"
"74","FZD7"
"75","GLDN"
"76","COL9A3"
"77","PHKG1"
"78","NKAIN1"
"79","SH3TC2"
"80","KCNJ6"
"81","ARX"
"82","ERICH3"
"83","MLC1"
"84","PLCL1"
"85","AATK"
"86","RASGRP1"
"87","SLC31A2"
"88","ANLN"
"89","CPM"
"90","FAM222A"
"91","NNMT"
"92","RGS4"
"93","DCX"
"94","TMEM235"
"95","PLEKHH1"
"96","FAM107B"
"97","SNX22"
"98","TMSB15A"
"99","SMOC1"
"100","OPALIN"
