"","x"
"1","STMN2"
"2","SLC14A1"
"3","VGF"
"4","CHRM3"
"5","ENC1"
"6","SYT1"
"7","SYT13"
"8","NMB"
"9","NEFM"
"10","VSNL1"
"11","RPH3A"
"12","LNX1"
"13","PTPN5"
"14","SELL"
"15","IGFBP2"
"16","MYBL2"
"17","NRGN"
"18","SYT4"
"19","SLC17A7"
"20","HPCA"
"21","SV2B"
"22","MYT1L"
"23","CNR1"
"24","STAC2"
"25","CPNE4"
"26","TENM2"
"27","SLC6A17"
"28","CAMK2A"
"29","PCSK1"
"30","LIX1"
"31","SULT4A1"
"32","MAP7D2"
"33","SNAP25"
"34","NEURL1"
"35","BCAT1"
"36","CHST9"
"37","IGFN1"
"38","DDN"
"39","KCNC2"
"40","PPP1R14C"
"41","FABP7"
"42","GABRB2"
"43","GRIN2B"
"44","CRYAB"
"45","ST8SIA5"
"46","CHI3L1"
"47","NPTX2"
"48","DNM1"
"49","TMEM130"
"50","EEF1A2"
"51","PRLHR"
"52","NELL2"
"53","C11orf87"
"54","RGS4"
"55","PTPRN"
"56","SLC4A10"
"57","ASPM"
"58","ZCCHC12"
"59","CENPF"
"60","RIMS4"
"61","GABRA1"
"62","SLC30A3"
"63","TOP2A"
"64","CAMK1G"
"65","SYTL4"
"66","PACSIN1"
"67","CALY"
"68","GABRG2"
"69","ADCY1"
"70","PTPN3"
"71","NPTX1"
"72","SFRP2"
"73","MRAP2"
"74","DAAM2"
"75","GNG3"
"76","KCNK9"
"77","MKI67"
"78","FOXM1"
"79","NEUROD2"
"80","IQSEC3"
"81","CELF4"
"82","FREM2"
"83","KCNS1"
"84","PI16"
"85","ABI3BP"
"86","BIRC5"
"87","PRRG3"
"88","CHGA"
"89","CXCL14"
"90","LZTS1"
"91","SPRY4"
"92","ERICH3"
"93","ZNF385D"
"94","RBFOX1"
"95","GABRA4"
"96","KIF4A"
"97","TJP2"
"98","ZDHHC23"
"99","FAM189A2"
"100","CREG2"
