"","x"
"1","SOX10"
"2","ATP10B"
"3","TRIM67"
"4","DMRT2"
"5","ARX"
"6","EDIL3"
"7","UGT8"
"8","BVES"
"9","SGCD"
"10","NOS2"
"11","ACAN"
"12","GPNMB"
"13","SUSD5"
"14","APOD"
"15","VAT1L"
"16","CAMK2A"
"17","GALNT13"
"18","KCNJ4"
"19","GPR17"
"20","CLDN11"
"21","SCN9A"
"22","GSTM1"
"23","GFRA1"
"24","PPL"
"25","USH1C"
"26","GJB1"
"27","CPNE4"
"28","CNTN2"
"29","SLC17A7"
"30","DCX"
"31","FA2H"
"32","NRGN"
"33","GJB6"
"34","CTHRC1"
"35","HLA-DRB5"
"36","PRAME"
"37","CRLF1"
"38","HAPLN4"
"39","CHD5"
"40","GJA1"
"41","EGFR"
"42","MOG"
"43","ANKS1B"
"44","CACNG4"
"45","MBP"
"46","ZIC2"
"47","SLC38A1"
"48","KLRC2"
"49","ICAM5"
"50","PRKCG"
"51","PHKG1"
"52","CSMD3"
"53","GRID2"
"54","MAG"
"55","ABI3BP"
"56","MYRF"
"57","DMTN"
"58","KCNJ6"
"59","ENPP2"
"60","PACSIN1"
"61","RIN1"
"62","FBN3"
"63","SCIN"
"64","DSG2"
"65","FGFR3"
"66","MYT1"
"67","EYA2"
"68","DAPK1"
"69","SPOCK1"
"70","PCDH8"
"71","ST8SIA2"
"72","GALNT9"
"73","NPTX1"
"74","RPRML"
"75","COL9A1"
"76","HLA-DRB1"
"77","SMOC1"
"78","SLITRK2"
"79","SLC30A3"
"80","CDH19"
"81","CAV2"
"82","CREG2"
"83","KNDC1"
"84","COL28A1"
"85","EFNB3"
"86","LMO1"
"87","FPR3"
"88","AHR"
"89","LTF"
"90","OTX1"
"91","HAPLN1"
"92","GPC6"
"93","TOX3"
"94","MX2"
"95","IRX2"
"96","RGS6"
"97","SNX22"
"98","CA11"
"99","MGAT5B"
"100","CCK"
