"","x"
"1","MBP"
"2","MOBP"
"3","MAG"
"4","ERMN"
"5","TOP2A"
"6","MKI67"
"7","ETNPPL"
"8","CNTN2"
"9","MOG"
"10","BCAS1"
"11","CARNS1"
"12","SLC14A1"
"13","OPALIN"
"14","PPP1R1B"
"15","CENPF"
"16","NKX6-2"
"17","MAL"
"18","FXYD1"
"19","PDGFRA"
"20","MYBL2"
"21","NTSR2"
"22","FREM2"
"23","TMEM144"
"24","KLK6"
"25","TMEM125"
"26","PTGDS"
"27","LGI3"
"28","MYBPC1"
"29","SPX"
"30","ASPM"
"31","AK5"
"32","S100A1"
"33","CLDN11"
"34","FBXO2"
"35","PAQR6"
"36","SOX11"
"37","FGF1"
"38","FAM107A"
"39","KIFC1"
"40","CNDP1"
"41","SEC14L5"
"42","IQCA1"
"43","FGFR3"
"44","HAPLN2"
"45","MYRF"
"46","DCX"
"47","NCAPG"
"48","RRM2"
"49","HHATL"
"50","TPX2"
"51","LPAR1"
"52","TMEM235"
"53","UBE2C"
"54","DTL"
"55","AIFM3"
"56","PI16"
"57","DAAM2"
"58","SEPT4"
"59","NKAIN2"
"60","PPP1R14A"
"61","TF"
"62","FOXM1"
"63","BIRC5"
"64","CRLF1"
"65","FIP1L1"
"66","GFAP"
"67","SNTA1"
"68","PLP1"
"69","HSPB8"
"70","CPNE6"
"71","CALN1"
"72","HSPA2"
"73","PACSIN1"
"74","PBK"
"75","NUSAP1"
"76","DNAH17"
"77","SLCO1A2"
"78","CDK1"
"79","APLNR"
"80","ENPP2"
"81","MCM10"
"82","EMX2"
"83","NWD1"
"84","EVI2A"
"85","ALDH1A1"
"86","S1PR5"
"87","SFRP2"
"88","BUB1B"
"89","AQP4"
"90","HS3ST4"
"91","NECAB1"
"92","BUB1"
"93","GPR62"
"94","USH1C"
"95","TMEM88B"
"96","SLC5A11"
"97","KIF6"
"98","CRB2"
"99","ESPL1"
"100","ZNF536"
