"","x"
"1","VGF"
"2","SLC14A1"
"3","STMN2"
"4","CHRM3"
"5","SELL"
"6","RPH3A"
"7","ENC1"
"8","IGFBP2"
"9","MYBL2"
"10","DAAM2"
"11","LNX1"
"12","CNR1"
"13","NMB"
"14","SYT13"
"15","NPTX1"
"16","SFRP2"
"17","CPNE4"
"18","FREM2"
"19","STAC2"
"20","LIX1"
"21","ST8SIA5"
"22","TOP2A"
"23","SYT1"
"24","ASPM"
"25","EEF1A2"
"26","TENM2"
"27","CENPF"
"28","BCAT1"
"29","PPP1R14C"
"30","VSNL1"
"31","NEFM"
"32","SYT4"
"33","MKI67"
"34","PTPN5"
"35","PRLHR"
"36","NRGN"
"37","PI16"
"38","SULT4A1"
"39","CAMK2A"
"40","DNM1"
"41","FOXM1"
"42","DUSP4"
"43","GRIN2B"
"44","IGFN1"
"45","FAM189A2"
"46","HPCA"
"47","SLC17A7"
"48","KCNC2"
"49","PCSK1"
"50","SLC4A10"
"51","TMEM130"
"52","PTPRN"
"53","PTPN3"
"54","SV2B"
"55","BIRC5"
"56","MYT1L"
"57","DDN"
"58","SPRY4"
"59","NEURL1"
"60","LZTS1"
"61","SNAP25"
"62","GABRB2"
"63","MAP7D2"
"64","SLC6A17"
"65","USH1C"
"66","KIFC1"
"67","RRM2"
"68","HUNK"
"69","ADCY1"
"70","SYTL4"
"71","TPX2"
"72","FABP7"
"73","NCAPG"
"74","KIF4A"
"75","ABI3BP"
"76","FOLR2"
"77","ZCCHC12"
"78","UBE2C"
"79","HAPLN4"
"80","NPTX2"
"81","C11orf87"
"82","KCNK9"
"83","GABRA1"
"84","CKAP2L"
"85","CD38"
"86","TJP2"
"87","GABRG2"
"88","SLC30A3"
"89","MRAP2"
"90","NCAPH"
"91","CRYAB"
"92","HSPB8"
"93","CREB3L1"
"94","GPR12"
"95","ETNPPL"
"96","CAMK1G"
"97","MELK"
"98","TMEM158"
"99","C2orf88"
"100","CHST9"
