"","x"
"1","CHI3L1"
"2","SERPINA3"
"3","LTF"
"4","NNMT"
"5","POSTN"
"6","PDPN"
"7","TIMP1"
"8","CHI3L2"
"9","IGFBP2"
"10","PTPRT"
"11","SOCS3"
"12","JPH3"
"13","SERPINE1"
"14","ANXA1"
"15","EMP3"
"16","SPHKAP"
"17","SPOCD1"
"18","CSMD3"
"19","GABRB3"
"20","INA"
"21","COL1A1"
"22","SMOC1"
"23","CD163"
"24","TNR"
"25","GALNT13"
"26","CUX2"
"27","SNAP91"
"28","ANXA2"
"29","GRIN1"
"30","KCNIP2"
"31","ABCC3"
"32","CPLX2"
"33","SHANK2"
"34","TYMP"
"35","SPP1"
"36","CP"
"37","GPR17"
"38","SERPING1"
"39","CA10"
"40","C1R"
"41","COL3A1"
"42","ST8SIA3"
"43","SHISA7"
"44","TMEM151B"
"45","PCDH7"
"46","RIMS2"
"47","COL6A2"
"48","MOXD1"
"49","COL4A1"
"50","ELFN2"
"51","CRTAC1"
"52","TNFRSF12A"
"53","PLA2G2A"
"54","RTP5"
"55","DOK6"
"56","SRPX2"
"57","CCL2"
"58","MDGA2"
"59","KCNB1"
"60","IFI30"
"61","KSR2"
"62","STEAP3"
"63","EMILIN2"
"64","GBP1"
"65","GDF15"
"66","CFI"
"67","PLAU"
"68","FMOD"
"69","FERMT1"
"70","CDHR1"
"71","LOX"
"72","ATCAY"
"73","SLITRK1"
"74","FABP5"
"75","COL4A2"
"76","VSTM2A"
"77","GNAL"
"78","VIM"
"79","LGALS3"
"80","ADAM12"
"81","AEBP1"
"82","PTX3"
"83","FUT9"
"84","CXCL10"
"85","KCNIP3"
"86","SLC8A2"
"87","HLA-DQA1"
"88","ADM"
"89","SHD"
"90","AFF2"
"91","FAM155A"
"92","HLA-DQB1"
"93","PLEKHA4"
"94","GABBR1"
"95","APOL4"
"96","SH3GL2"
"97","SNAP25"
"98","S100A11"
"99","SVOP"
"100","C21orf62"
