"","x"
"1","SOX10"
"2","DMRT2"
"3","MOG"
"4","MAG"
"5","MBP"
"6","UGT8"
"7","GJB1"
"8","CLDN11"
"9","CARNS1"
"10","CNTN2"
"11","MOBP"
"12","MYRF"
"13","KLK6"
"14","FA2H"
"15","CNDP1"
"16","EDIL3"
"17","PLP1"
"18","ADAMTS4"
"19","NKX6-2"
"20","ENPP2"
"21","ATP10B"
"22","PIEZO2"
"23","ST18"
"24","CNTNAP4"
"25","LRP2"
"26","ERMN"
"27","EGFR"
"28","FOLH1"
"29","TF"
"30","SUSD5"
"31","PDGFRA"
"32","TRIM67"
"33","SPOCK3"
"34","HAPLN2"
"35","APOD"
"36","BCAS1"
"37","DCX"
"38","GJA1"
"39","GPNMB"
"40","ANKS1B"
"41","LDB3"
"42","GREM1"
"43","PPL"
"44","CDH19"
"45","LGI3"
"46","BOK"
"47","RAPGEF5"
"48","CPM"
"49","NGFR"
"50","SLC45A3"
"51","CAPN3"
"52","PCSK6"
"53","DNAH17"
"54","GPD1"
"55","CRLF1"
"56","MAL"
"57","TMEM151A"
"58","PLLP"
"59","TMEM125"
"60","CDK18"
"61","MYO1D"
"62","TMEM144"
"63","ERBB3"
"64","SLC5A11"
"65","PLCL1"
"66","NKAIN2"
"67","ANK3"
"68","KNDC1"
"69","RPS4Y1"
"70","ACAN"
"71","TUBB4A"
"72","FGFR3"
"73","TMEM88B"
"74","GPR62"
"75","SGCD"
"76","SNX22"
"77","NKAIN1"
"78","GJC2"
"79","COL28A1"
"80","FZD7"
"81","EYA2"
"82","TMSB15A"
"83","PLEKHH1"
"84","MLC1"
"85","KCNJ6"
"86","FAM107B"
"87","CTHRC1"
"88","BAIAP3"
"89","GJB6"
"90","ANLN"
"91","SEC14L5"
"92","PHKG1"
"93","FAM222A"
"94","GAL3ST1"
"95","STMN4"
"96","MYT1"
"97","BVES"
"98","PEX5L"
"99","GLDN"
"100","DAPK1"
