"","x"
"1","MBP"
"2","MOBP"
"3","MAG"
"4","CNDP1"
"5","ERMN"
"6","OPALIN"
"7","CXCL14"
"8","CHI3L1"
"9","FXYD1"
"10","NKX6-2"
"11","MOG"
"12","CARNS1"
"13","CNTN2"
"14","MAL"
"15","LPAR1"
"16","BCAS1"
"17","AK5"
"18","CLDN11"
"19","KLK6"
"20","CBR1"
"21","TMEM144"
"22","ENPP2"
"23","PPP1R14A"
"24","LGI3"
"25","MYRF"
"26","DCX"
"27","GPR37"
"28","SEC14L5"
"29","HHATL"
"30","NECAB1"
"31","TMEM125"
"32","GJB1"
"33","TPPP3"
"34","CSRP1"
"35","NRGN"
"36","HHIP"
"37","AIFM3"
"38","S100A1"
"39","RGS4"
"40","SLC39A12"
"41","EPHB6"
"42","NEFM"
"43","GREM1"
"44","SYNPO"
"45","SV2B"
"46","GRM3"
"47","RCAN2"
"48","S1PR5"
"49","LRP2"
"50","PACSIN1"
"51","SLC17A7"
"52","CAMK2A"
"53","HAPLN2"
"54","VSNL1"
"55","SYNJ2"
"56","SERPINI1"
"57","TMEM235"
"58","TESPA1"
"59","FOLH1"
"60","TMEM88B"
"61","GDA"
"62","GPR62"
"63","TMEM151A"
"64","BOK"
"65","DLL3"
"66","PDE1C"
"67","CYB5R2"
"68","SLC5A11"
"69","PDGFRA"
"70","CLDN10"
"71","TF"
"72","MEX3A"
"73","ASIC4"
"74","EMX2"
"75","CPNE6"
"76","PAMR1"
"77","MAOB"
"78","PADI2"
"79","GAS7"
"80","SPOCK3"
"81","SPP1"
"82","RARRES2"
"83","CD22"
"84","SNCA"
"85","MPPED1"
"86","SERPINA3"
"87","MOXD1"
"88","RYR2"
"89","SLC24A2"
"90","NINJ2"
"91","DOCK5"
"92","ICOSLG"
"93","NKAIN2"
"94","ST18"
"95","GALNT6"
"96","FGF1"
"97","EVI2A"
"98","ADAP1"
"99","SHD"
"100","CCK"
